term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,spec,n_obs,n_authors,n_clusters,cond,career_band,subject_group,lag_band,income_group,meaningful
k+4:EDITORIAL_COMPROMISE,-0.152173913043478,0.11234467870068683,-1.3545271107046004,0.17556827009784648,-0.3723694832968242,0.06802165720986819,4,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+5:EDITORIAL_COMPROMISE,-0.10869565217391275,0.0744371619622198,-1.4602336965651734,0.14422585734179205,-0.2545924896198636,0.037201185272038056,5,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+6:EDITORIAL_COMPROMISE,-0.1521739130434781,0.07765035156443047,-1.9597324413555504,0.050027071257144895,-0.3043686021097618,2.0776022805618632e-05,6,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-6:HONEST_ERROR,-0.14035087719298295,0.04648209108986102,-3.0194613431149446,0.0025322460610552877,-0.23145577572911052,-0.04924597865685536,-6,HONEST_ERROR,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-5:HONEST_ERROR,-0.12280701754386003,0.048917282227613136,-2.5105036901362676,0.012055906209007317,-0.21868489070998176,-0.026929144377738287,-5,HONEST_ERROR,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-4:HONEST_ERROR,-0.1052631578947372,0.056481650486630924,-1.8636700058836408,0.06236805998005135,-0.2159671928485338,0.005440877059059407,-4,HONEST_ERROR,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k-3:HONEST_ERROR,-0.017543859649123306,0.039840270542417316,-0.44035493259124914,0.6596800604542623,-0.09563078991226125,0.060543070614014635,-3,HONEST_ERROR,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,0.0
k+0:HONEST_ERROR,0.07017543859649072,0.07088677732776741,0.9899651421874127,0.32219115714174307,-0.0687626449659334,0.20911352215891485,0,HONEST_ERROR,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+1:HONEST_ERROR,-0.052631578947368786,0.050750724557540525,-1.037060641128301,0.2997075966300973,-0.1521029990801482,0.046839841185410645,1,HONEST_ERROR,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
k+2:HONEST_ERROR,-0.1228070175438601,0.0740639961288833,-1.6581203278601937,0.09729318165794565,-0.26797244995647135,0.02235841486875116,2,HONEST_ERROR,active,active ~ arm | subject_group=SOC,2210,170,76,25.4347826086956,,SOC,,,1.0
