treated_id,control_id,pseudo_retraction_year,arm,treated_position,career_band,income_group,treated_pre_pubs,control_pre_pubs,treated_pre_recent,control_pre_recent,treated_pre_early,control_pre_early,treated_pre_growth,control_pre_growth,match_distance
A5009606065,A5054313572,2017,EDITORIAL_COMPROMISE,first,mid (5-10y),higher,9,9,5,5,4,4,0.2876820724517809,0.2876820724517809,0.0
A5015231333,A5038432784,2017,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,13,13,8,8,5,5,0.4883527679139321,0.4883527679139321,0.0
A5054994590,A5013666891,2017,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,128,123,39,37,89,86,-0.5072478024181066,-0.5232481437645475,0.09758032833886432
A5065443593,A5059017458,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,3,3,0,0,3,3,-0.5596157879354227,-0.5596157879354227,0.0
A5068964907,A5000127532,2017,HONEST_ERROR,middle,senior (10-20y),higher,6,6,5,5,1,1,0.7576857016975165,0.7576857016975165,0.0
A5006839105,A5063860803,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,51,51,22,22,29,29,0.010050335853501569,0.010050335853501569,0.0
A5112533684,A5091091957,2017,EDITORIAL_COMPROMISE,middle,mid (5-10y),higher,6,6,5,5,1,1,0.7576857016975165,0.7576857016975165,0.0
A5086184740,A5070231575,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,12,12,2,2,10,10,-0.7419373447293773,-0.7419373447293773,0.0
A5112346529,A5103180163,2017,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,3,3,1,1,2,2,-0.11778303565638348,-0.11778303565638348,0.0
A5100709898,A5112371801,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,16,16,11,11,5,5,0.7295148247308201,0.7295148247308201,0.0
A5100876996,A5025633734,2017,AUTHOR_MISCONDUCT,first,mid (5-10y),lower,5,5,3,3,2,2,0.2876820724517809,0.2876820724517809,0.0
A5087778766,A5110388853,2017,HONEST_ERROR,last,veteran (20y+),higher,33,33,16,16,17,17,0.18759861389479826,0.18759861389479826,0.0
A5090330319,A5106485945,2017,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,10,10,6,6,4,4,0.4054651081081643,0.4054651081081643,0.0
A5103006323,A5059055919,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,24,24,21,21,3,3,1.519825753744413,1.519825753744413,0.0
A5100351197,A5100549895,2017,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,8,8,4,4,4,4,0.15415067982725827,0.15415067982725827,0.0
A5060700143,A5102921266,2017,UNCONFIRMED_CONCERNS,middle,senior (10-20y),higher,3,3,2,2,1,1,0.28768207245178096,0.28768207245178096,0.0
A5011132357,A5073025689,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,95,96,66,67,29,29,1.0252810155825602,1.03966975303466,0.02877747490419935
A5084341381,A5071289898,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,8,8,2,2,6,6,-0.4054651081081644,-0.4054651081081644,0.0
A5108532077,A5047470141,2017,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,7,7,2,2,5,5,-0.30010459245033805,-0.30010459245033805,0.0
A5109172887,A5004430702,2017,ETHICS_VIOLATION,middle,veteran (20y+),higher,61,61,20,20,41,41,-0.38348620138938916,-0.38348620138938916,0.0
A5110226787,A5000188253,2017,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,8,8,2,2,6,6,-0.4054651081081644,-0.4054651081081644,0.0
A5003584797,A5063126990,2017,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,9,9,8,8,1,1,1.0761394328160512,1.0761394328160512,0.0
A5108377534,A5012755852,2017,ETHICS_VIOLATION,middle,mid (5-10y),higher,2,2,0,0,2,2,-0.4054651081081644,-0.4054651081081644,0.0
A5081215156,A5088090381,2017,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,113,111,63,62,50,49,0.48835276791393234,0.4917774287952965,0.03738426602430511
A5059493028,A5087977561,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),lower,19,19,19,19,0,0,1.992430164690206,1.992430164690206,0.0
A5009286574,A5018544138,2017,AUTHOR_MISCONDUCT,middle,early (<5y),higher,8,8,7,7,1,1,0.9808292530117264,0.9808292530117264,0.0
A5102950573,A5091528114,2017,HONEST_ERROR,middle,veteran (20y+),higher,86,87,21,21,65,66,-0.7683706017975331,-0.7827593392496328,0.02877747490419935
A5103763737,A5114910939,2017,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,28,28,8,8,20,20,-0.49247648509779407,-0.49247648509779407,0.0
A5011785645,A5032282146,2017,HONEST_ERROR,middle,mid (5-10y),higher,84,84,17,17,67,67,-0.9792655310355434,-0.9792655310355434,0.0
A5109010437,A5089497620,2017,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,87,87,29,29,58,58,-0.3737164097935839,-0.3737164097935839,0.0
A5026205153,A5134628337,2017,EDITORIAL_COMPROMISE,middle,early (<5y),,8,8,8,8,0,0,1.2992829841302609,1.2992829841302609,0.0
A5110203697,A5062757867,2017,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,8,8,2,2,6,6,-0.4054651081081644,-0.4054651081081644,0.0
A5013608310,A5057213924,2017,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,4,4,3,3,1,1,0.4700036292457355,0.4700036292457355,0.0
A5100673085,A5076445777,2017,UNCONFIRMED_CONCERNS,last,veteran (20y+),higher,19,19,12,12,7,7,0.5978370007556204,0.5978370007556204,0.0
A5041554168,A5054370701,2017,HONEST_ERROR,last,veteran (20y+),higher,20,20,6,6,14,14,-0.4054651081081646,-0.4054651081081646,0.0
A5016282780,A5023934392,2017,EDITORIAL_COMPROMISE,middle,mid (5-10y),higher,22,22,16,16,6,6,0.9295359586241756,0.9295359586241756,0.0
A5111428951,A5114249006,2017,UNCONFIRMED_CONCERNS,middle,veteran (20y+),higher,10,10,4,4,6,6,-0.06899287148695155,-0.06899287148695155,0.0
A5012883898,A5016247102,2017,HONEST_ERROR,first,mid (5-10y),higher,7,7,5,5,2,2,0.5753641449035618,0.5753641449035618,0.0
A5033821392,A5036140974,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,59,59,30,30,29,29,0.28768207245178123,0.28768207245178123,0.0
A5018896607,A5081779978,2017,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,91,91,34,34,57,57,-0.21227387907730577,-0.21227387907730577,0.0
A5006524742,A5067139272,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,22,22,12,12,10,10,0.3566749439387322,0.3566749439387322,0.0
A5114153726,A5021649238,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,7,7,5,5,2,2,0.5753641449035618,0.5753641449035618,0.0
A5043361275,A5050613725,2017,HONEST_ERROR,first,veteran (20y+),higher,3,3,2,2,1,1,0.28768207245178096,0.28768207245178096,0.0
A5029702143,A5024462010,2017,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,47,47,14,14,33,33,-0.4900224961362276,-0.4900224961362276,0.0
A5065196920,A5080896750,2017,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,18,18,11,11,7,7,0.528844129268669,0.528844129268669,0.0
A5101793914,A5013580236,2017,AUTHOR_MISCONDUCT,first,mid (5-10y),higher,21,21,8,8,13,13,-0.14763599880606448,-0.14763599880606448,0.0
A5056031423,A5022490005,2017,HONEST_ERROR,middle,veteran (20y+),higher,16,16,0,0,16,16,-1.6094379124341003,-1.6094379124341003,0.0
